	Unknown	InNeurons	Oligodendrocytes	Endothelial	Microglia	Astrocytes	OPC	ExNeurons
14370	0.008027892	0.3319601	0.23997886	0.1574679	0.040078647	0.15547568	0.017764725	0.049246144
14362	0.0069328714	0.3888391	0.2246501	0.0988125	0.036606185	0.10624925	0.012823167	0.12508678
14547	0.008534233	0.36272225	0.24077593	0.11655602	0.038622282	0.14292754	0.017153762	0.07270799
14322	0.0069359434	0.3889067	0.19532429	0.10371495	0.035190087	0.11444452	0.012262504	0.143221
14298	0.008176624	0.34633288	0.23218696	0.10150019	0.03833894	0.17537189	0.02139397	0.076698594
14345	0.008461017	0.3346908	0.25993413	0.10009698	0.032769304	0.18080862	0.019910732	0.06332839
14329	0.009002012	0.34673747	0.2215346	0.115613304	0.03891771	0.14475912	0.016657853	0.10677796
14305	0.007721698	0.37929395	0.15745716	0.11244119	0.036048185	0.21888597	0.015977722	0.07217411
14297	0.0070522777	0.34218013	0.2867091	0.10680467	0.028007783	0.15814146	0.016757747	0.05434681
14026	0.00975958	0.3111994	0.24332474	0.12528639	0.04486436	0.18037625	0.021156855	0.064032435
14018	0.011921885	0.3599089	0.1474547	0.12080005	0.055889204	0.15468715	0.027772153	0.12156597
13986	0.007291527	0.31640628	0.33690605	0.099152	0.034622964	0.15671964	0.017402265	0.03149932
14163	0.0062520467	0.38935003	0.13381355	0.09395944	0.036922924	0.25324103	0.01741084	0.06905017
14242	0.0072529963	0.33482948	0.24471267	0.11769197	0.03461658	0.19640648	0.017116476	0.04737329
14234	0.0065324833	0.3137615	0.2935108	0.10676485	0.028958857	0.20004332	0.02045562	0.029972555
14226	0.0048496686	0.4233918	0.116561614	0.09305543	0.02265247	0.23028104	0.01339282	0.09581515
14178	0.0071969726	0.38769206	0.072694995	0.098506115	0.033077423	0.26218882	0.01894264	0.11970093
14241	0.00632864	0.4385344	0.113974996	0.10023203	0.030950442	0.22419322	0.024208015	0.06157826
14225	0.003716917	0.48660326	0.036155075	0.057449806	0.023708507	0.28275955	0.015202164	0.09440469
14209	0.0050676684	0.385162	0.30035385	0.078985326	0.02938155	0.15860902	0.015457627	0.026982987
14201	0.0057773814	0.35334086	0.22533451	0.095948346	0.02564543	0.20892893	0.015105027	0.06991952
